"","parcela","N1","V1","AB1","AD1","E1","N2","V2","AB2","AD2","E2","Aclareo","Et","ABu","B"
"186",10,1964.4180874722,103.926441,30.74344,10.668,8.9,988.38645910551,70.445796,19.03384,11.2776,10.3,"A1",8.9,30.74344,0.619118745332338
"187",10,988.38645910551,70.445796,19.03384,11.2776,10.3,988.38645910551,102.219173,23.48808,12.8016,12.1,"A1",8.9,30.74344,0.764002987303958
"188",10,988.38645910551,102.219173,23.48808,12.8016,12.1,494.193229552755,75.133786,15.13064,14.3256,14.3,"A1",8.9,30.74344,0.492158327109783
"189",10,494.193229552755,75.133786,15.13064,14.3256,14.3,494.193229552755,101.309563,18.942,15.24,16.1,"A1",8.9,30.74344,0.61613144137416
"190",10,494.193229552755,101.309563,18.942,15.24,16.1,247.096614776378,76.631144,12.628,17.3736,18.1,"A1",8.9,30.74344,0.41075429424944
"191",10,247.096614776378,76.631144,12.628,17.3736,18.1,247.096614776378,105.276862,15.58984,18.8976,20.3,"A1",8.9,30.74344,0.507094846900672
"192",10,247.096614776378,105.276862,15.58984,18.8976,20.3,247.096614776378,122.860323,17.42664,19.812,22.1,"A1",8.9,30.74344,0.566840926064227
"193",10,247.096614776378,122.860323,17.42664,19.812,22.1,247.096614776378,142.430932,19.72264,20.1168,24,"A1",8.9,30.74344,0.641523525018671
"194",10,247.096614776378,142.430932,19.72264,20.1168,24,247.096614776378,166.556588,21.90384,21.0312,26,"A1",8.9,30.74344,0.712471994025392
"195",10,247.096614776378,166.556588,21.90384,21.0312,26,247.096614776378,194.572576,24.65904,21.6408,28.1,"A1",8.9,30.74344,0.802091112770724
"196",10,247.096614776378,194.572576,24.65904,21.6408,28.1,247.096614776378,220.279554,26.8632,22.5552,30,"A1",8.9,30.74344,0.87378640776699
"197",10,247.096614776378,220.279554,26.8632,22.5552,30,247.096614776378,245.517733,28.9296,23.4696,32.1,"A1",8.9,30.74344,0.94100074682599
"198",10,247.096614776378,245.517733,28.9296,23.4696,32.1,247.096614776378,268.936692,30.85824,24.0792,34.1,"A1",8.9,30.74344,1.00373412994772
"199",10,247.096614776378,268.936692,30.85824,24.0792,34.1,247.096614776378,297.806314,32.718,25.2984,36.2,"A1",8.9,30.74344,1.06422703510082
"200",10,247.096614776378,297.806314,32.718,25.2984,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
