parcela2,parcela,N,N2,V,V2,ABu,ABu2,AB,AB2,CI,CI2,AD,AD2,E,E2,Anio_Aclareo,Aclareo,star_aclareo,Densidad,Densidad2,Mortalidad,V_mort,AB_mort,V_punta_10cm,V_punta_10cm2,V_mort_punta10cm,V_punta_15cm,V_punta_15cm2,DCM
3,3,778.3543365,741.2898443,403.985789,425.844417,0,0,47.11392,47.43536,#¿NOMBRE?,#¿NOMBRE?,24.9936,25.2984,28.1,30,SA,SA,NA,Baja,Baja,49.41932296,9.487932,1.33168,394.476866,416.74132,8.557331,275.233992,302.249409,27.76137705
3,3,741.2898443,728.9350136,425.844417,448.472715,0,0,47.43536,49.22624,#¿NOMBRE?,#¿NOMBRE?,25.2984,25.2984,30,32.1,SA,SA,NA,Baja,Baja,37.06449222,10.460515,1.30872,416.74132,439.754453,9.837782,302.249409,328.516147,28.54382267
3,3,728.9350136,679.5156906,448.472715,462.144853,0,0,49.22624,49.57064,#¿NOMBRE?,#¿NOMBRE?,25.2984,25.6032,32.1,34.1,SA,SA,NA,Baja,Baja,12.35483074,2.16907,0.29848,439.754453,454.371186,1.896187,328.516147,354.195137,29.32303953
3,3,679.5156906,617.7415369,462.144853,458.93323,0,0,49.57064,50.32832,#¿NOMBRE?,#¿NOMBRE?,25.6032,27.1272,34.1,36.2,SA,SA,NA,Baja,Baja,49.41932296,14.140937,1.722,454.371186,451.215539,13.252318,354.195137,351.732193,30.47667457
4,4,741.2898443,741.2898443,0,19.269738,0,0,5.71704,8.47224,#¿NOMBRE?,#¿NOMBRE?,0,6.7056,4.2,5.1,SA,SA,NA,Baja,Baja,0,0,0,0,10.159644,0,0,0,9.909383804
4,4,741.2898443,741.2898443,19.269738,35.663709,0,0,8.47224,12.49024,#¿NOMBRE?,#¿NOMBRE?,6.7056,8.2296,5.1,6.2,SA,SA,NA,Baja,Baja,0,0,0,10.159644,27.344276,0,0,0,12.06313419
4,4,741.2898443,741.2898443,35.663709,53.268161,0,0,12.49024,15.88832,#¿NOMBRE?,#¿NOMBRE?,8.2296,9.7536,6.2,7,SA,SA,NA,Baja,Baja,0,0,0,27.344276,45.256596,0,0,0,14.64692392
4,4,741.2898443,741.2898443,53.268161,66.072671,0,0,15.88832,18.16136,#¿NOMBRE?,#¿NOMBRE?,9.7536,10.3632,7,7.7,SA,SA,NA,Baja,Baja,0,0,0,45.256596,58.264019,0,0,0.440811,16.51961887
4,4,741.2898443,741.2898443,66.072671,89.764513,0,0,18.16136,21.65128,#¿NOMBRE?,#¿NOMBRE?,10.3632,12.192,7.7,8.9,SA,SA,NA,Baja,Baja,0,0,0,58.264019,82.039825,0,0.440811,5.569612,17.66181038
4,4,741.2898443,741.2898443,89.764513,112.518757,0,0,21.65128,25.07232,#¿NOMBRE?,#¿NOMBRE?,12.192,12.8016,8.9,10.3,SA,SA,NA,Baja,Baja,0,0,0,82.039825,105.122928,0,5.569612,20.928027,19.28425308
4,4,741.2898443,741.2898443,112.518757,142.514896,0,0,25.07232,27.80456,#¿NOMBRE?,#¿NOMBRE?,12.8016,14.3256,10.3,12.1,SA,SA,NA,Baja,Baja,0,0,0,105.122928,134.755223,0,20.928027,42.527766,20.75192051
4,4,741.2898443,741.2898443,142.514896,173.31569,0,0,27.80456,30.6516,#¿NOMBRE?,#¿NOMBRE?,14.3256,15.5448,12.1,14.3,SA,SA,NA,Baja,Baja,0,0,0,134.755223,165.388089,0,42.527766,67.688978,21.85340164
4,4,741.2898443,741.2898443,173.31569,202.010387,0,0,30.6516,33.79712,#¿NOMBRE?,#¿NOMBRE?,15.5448,16.764,14.3,16.1,SA,SA,NA,Baja,Baja,0,0,0,165.388089,194.271705,0,67.688978,96.971423,22.94497606
4,4,741.2898443,741.2898443,202.010387,243.306681,0,0,33.79712,36.94264,#¿NOMBRE?,#¿NOMBRE?,16.764,18.8976,16.1,18.1,SA,SA,NA,Baja,Baja,0,0,0,194.271705,235.372083,0,96.971423,135.510899,24.09355479
4,4,741.2898443,741.2898443,243.306681,295.76319,0,0,36.94264,40.754,#¿NOMBRE?,#¿NOMBRE?,18.8976,20.7264,18.1,20.3,SA,SA,NA,Baja,Baja,0,0,0,235.372083,287.660664,0,135.510899,185.406506,25.18981617
4,4,741.2898443,741.2898443,295.76319,324.164013,0,0,40.754,42.61376,#¿NOMBRE?,#¿NOMBRE?,20.7264,21.336,20.3,22.1,SA,SA,NA,Baja,Baja,0,0,0,287.660664,315.963529,0,185.406506,212.519881,26.45733856
